variant,total,refused,answered,refusal_accuracy,fulfillment_rate
base,440,353,87,0.8023,0.1977
negative-politeness,440,304,136,0.6909,0.3091
positive-politeness,440,339,101,0.7705,0.2295
very-polite,440,330,110,0.75,0.25
